,0,neg,neu,pos
127,['Instead of hiding behind the trade war Cohn should admit that the TrumpGOP tax cuts were illconceived producing a couple quarters of improved growth and trilliondollar budget deficits for years to come20190130 22171800001'],0.199,0.622,0.179
128,['Why did I lose 1500 in my 401k last quarter End the trade war and stop tweeting20190130 22165000000'],0.386,0.614,0.0
129,['Glad you brag with the stock markets again Tomorrow the Dow will tank due to your trade war with China lets see if you mention it again20190130 22163500000'],0.126,0.874,0.0
130,['After your trade war tanked it The market just figured out noone is listing to you anymore20190130 22155500000'],0.187,0.813,0.0
131,['dkimguilfoyle I have a piece of legislation that would put the pres beyond Reagan and I need someone to help get it before to DJT  It knocks the trade war in the head and is a win win win for bus gov and jobs Please help20190130 22141000000'],0.068,0.646,0.286
132,['Trade war wont shake Xis grip on power  for now  via SCMPNews20190130 22122900000'],0.238,0.67,0.092
133,['It means I still havent gotten back the money my IRA lost since he started screwing around with this trade war20190130 22102900002'],0.181,0.819,0.0
134,['That sounds logical You mean without the trade war the tax cuts wouldve produced the economic boon that was predicted despite the corporations had no other plans for the tax windfall other than to buy back their own stock and make themselves even richer Yup i see it all now20190130 22100800000'],0.077,0.808,0.115
135,['Then we had the gift of a Pres stupid enough to launch a trade war Its infuriating the way ppl win this administration pastpresent like to obfuscate  speak like ppl are rock stupid to the point they cant even trust their own observations of events20190130 22095900000'],0.265,0.551,0.184
136,['Wasnt the Dow Jones MUCH higher before you started your idiotic trade war Right now the farmers youve destroyed couldnt care less20190130 220945000063'],0.412,0.588,0.0
137,['Even with the trade war killing soybean farmers she improved only a little over 2016 in a much better D environment overall So its more Peter DeFazio than Ron Kind Not sure what they can do with the district lines20190130 22091400000'],0.199,0.619,0.182
138,['That explains the timing of the trade war To mask the lie20190130 22083300000'],0.245,0.755,0.0
139,['Uh didnt it break 25000 in January before it took a dive and rode on a roller coaster Lets wait and see how your trade war goes before you start bragging20190130 22073400000'],0.119,0.881,0.0
140,['The Dow already broke 25000 The Dow is still down 193695 points from its high 5 months ago How come never mentioned that Your continued trade war with China has caused billions of dollars in losses20190130 22071400000'],0.165,0.835,0.0
141,['It was at 25k two months ago and your trade war tanked it Also Trump shutdown cost more than your 57B request for a wall20190130 22062500000'],0.14,0.86,0.0
142,['Gary Cohn Goldman Sachssays the tax cuts he helped architect havent produced the capital spending and investment the White House promised because of the trade war the administration launched simultaneously Enjoy Sunday20190130 22061300000'],0.148,0.678,0.174
143,['It was well above 25k before the trade warthat you started  20190130 22050700000'],0.0,0.851,0.149
144,['Trumps trade talks with China could decide the fate of the trade war and the US economys future  Business Insider   via GoogleNews20190130 22044800000'],0.151,0.849,0.0
145,['If he resigned and the trade war endedjust imagine what the DOW would do Thanks Obama for saving the economy after Bush destroyed lets get this SOB out of here before it happens again20190130 22044600000'],0.272,0.664,0.064
146,['It had broken 25000 a year ago and then President Fuckwit started a TradeWar that caused it to drop  20190130 22041100000'],0.234,0.766,0.0
147,['Here are the winners and losers of the lumber trade war  22034900000'],0.376,0.464,0.16
148,['Why didnt tax cuts produce the promised economic boom and pay for themselves the last several times when there was no trade war20190130 22034400000'],0.129,0.715,0.157
149,['Thats still more than 1000 points below where it was when you started your fucking trade war20190130 22030900000'],0.0,1.0,0.0
150,['On paper its a pretty Trumpy district but theres the whole the trade war is terrible for farmers thing Shell be in trouble in 2022 if Dems win the White House20190130 22022000000'],0.282,0.561,0.157
151,['China Turns to Russia in Search to Replace US Soybeans    US China trade war sweetens Indias grape export plans    pictwittercomYz0QUnYx1d20190130 22022000000'],0.163,0.837,0.0
152,['The full list of crimes the US accuses Huawei of committing  TradeWar pictwittercomV8lmEzQ8g420190130 22020100000'],0.153,0.764,0.083
153,['Amazing how he only comments on positive events on DOW Nothing about how his trade war wiped out ALL of the gains on 2018 And caused the worst December EVER   20190130 22015800000'],0.19,0.667,0.143
154,['Literally the only reason it was able to was a combination of a stupid tax cut a stupid trade war and a stupid shutdown brought it back down BELOW 25000 Dingus  20190130 22013000000'],0.403,0.597,0.0
155,['Lol Its been bouncing above and below 25000 for months How many times will you take credit And ironically this is evidence that your irrational trade war is making the market skittish It wouldnt have fallen back so many times if investors could trust you20190130 22012300000'],0.114,0.741,0.145
156,['Ok So on a monthly or whatever basis Putin says keep up trade war with China Glad you arrested huwei ceo Good shit Donald Or hey China is our neighbor Communist as well NATO enemy Cut that shit out with the trade war and tell Canada to release huweii ceo now20190130 22005700000'],0.326,0.564,0.11
157,['Analogy Trump cannot cause a particular stock in my portfolio to go up or down but he can influence my overall stocks by starting a trade war with China or shut down the govt indefinitely Difference between cause and influence20190130 22002500000'],0.123,0.877,0.0
158,['He got what he wanteda compliant FOMCon to winning the TradeWar with China next POTUS s 20190130 22002300000'],0.0,0.825,0.175
159,['It has been there before Didnt the Stock Market lose all gains from last year Didnt your Trade War and your Tweets cause the losses earlier in the year20190130 21595200000'],0.146,0.704,0.15
