Unnamed: 0,User,Date,Tweets
289,droid_life,05-08-19,Verizon Galaxy S9 S9 and Note 9 Getting Dark Mode Camera Update
292,droid_life,02-08-19,Galaxy Note 10 in some pretty colors 
293,droid_life,01-08-19,This is probably the biggest Galaxy Note 10 leak of all 
294,droid_life,01-08-19,Heres the Galaxy Note 10 in Most of Its Pretty Colors
295,droid_life,01-08-19,Verizons Galaxy S10 Family Grabs Pair of Updates
296,droid_life,01-08-19,The Big Galaxy Note 10 Leak is Here
299,droid_life,29-07-19,Verizons Galaxy Note 10 5G has been tested 
300,droid_life,29-07-19,Verizons Galaxy Note 10 5G has Been Tested GalaxyNote10 
301,droid_life,27-07-19,Hi Galaxy Watch Active 2 
302,droid_life,27-07-19,Dont miss this weeks show We covered the TMoSprint merger Galaxy Note 10 and Pixel 4 
303,droid_life,26-07-19,Heres the Galaxy Watch Active 2 Thanks to the FCC galaxywatchactive2 
304,droid_life,26-07-19,DEAL All Unlocked Galaxy S10 Phones are 400500 Off at Best Buy Today galaxys10 
305,droid_life,26-07-19,Galaxy Note 10 Launch Day is August 23 Reservations Now Open With 600 Off for TradeIns galaxynote10 
306,droid_life,26-07-19,TMobile is done with the Galaxy Fold
307,droid_life,25-07-19,Galaxy Fold is almost ready for its comeback in September
308,droid_life,25-07-19,TMobile Wont Sell the Galaxy Fold
309,droid_life,25-07-19,Galaxy Note 10 5G for Verizon Disclosed Appears to be Limited Time Exclusive
