created_at,text,retweet_count,favorite_count,lang
Fri Nov 08 06:10:05 +0000 2019,"['RT', 'btsprincesX', 'Taehyung', 'compró', 'una', 'villa', 'de', 'lujo', 'llamada', 'appelbaum', 'en', 'Samsung', 'dong', 'Gangnam', 'gu', 'Seúl', 'por', '5', '1', 'BILLONES', 'de', 'wones', 'Compró']",473,0,es
Fri Nov 08 06:10:03 +0000 2019,"['RT', 'sytamas', 'sent', 'from', 'my', 'samsung', 'hot', 'tub']",308,0,en
Fri Nov 08 06:10:03 +0000 2019,"['RT', 'Shewithbutsoft', 'ซ', 'มซ', 'ง', 'ขอบค', 'ณคนไทย', 'ร', 'วมสร', 'างปรากฏการณ', 'Space', 'Selfie', 'เซลฟ', 'หล', 'ดขอบโลก', 'ชาวเน', 'ตไทยร', 'วมส', 'งร', 'ปเซลฟ', 'มากเป', 'นอ', 'นด', 'บท', '7', 'ของ']",189,0,th
Fri Nov 08 06:10:02 +0000 2019,"['RT', 'eurekareport', 'AlanKohler', 'catches', 'up', 'with', 'CEO', 'of', 'nuheara', 'Justin', 'Miller', 'about', 'competition', 'within', 'the', 'wireless', 'earbuds', 'market', 'and', 'an', 'ap']",1,0,en
Fri Nov 08 06:09:54 +0000 2019,"['RT', 'expressoshow', 'You', 'could', 'win', '1', 'of', '10', 'SamsungMobileSA', 'Galaxy', 'A30s', 'special', 'editions', 'What', 'are', 'your', '2', 'favourite', 'A30s', 'features', 'amp', 'why', 'Be', 'su']",86,0,en
Fri Nov 08 06:09:47 +0000 2019,"['RT', 'expressoshow', 'You', 'could', 'win', '1', 'of', '10', 'SamsungMobileSA', 'Galaxy', 'A30s', 'special', 'editions', 'What', 'are', 'your', '2', 'favourite', 'A30s', 'features', 'amp', 'why', 'Be', 'su']",86,0,en
Fri Nov 08 06:09:47 +0000 2019,"['RT', 'FallonTonight', 'The', 'Tonight', 'Show', 'partners', 'with', 'SamsungMobileUS', 'to', 'help', 'surprise', '3', 'UT', 'Austin', 'students', 'with', 'Samsung', 'swag', 'and', 'pay', 'the', 'r']",297,0,en
Fri Nov 08 06:09:42 +0000 2019,"['400ml', 'Aroma', 'Ultrasonic', 'Air', 'Humidifier', 'IKSMarkets', 'Things', 'and', 'more', 'Shop', 'Tag', 'Follow', 'and', 'S']",0,0,en
Fri Nov 08 06:09:39 +0000 2019,"['chrislpontius', 'madebygoogle', 'I', 've', 'been', 'saying', 'this', 'very', 'thing', 'about', 'Samsung', 'devices', 'for', 'years']",0,0,en
Fri Nov 08 06:09:38 +0000 2019,"['GiveawayNAlJA', 'Samsung', 'Galaxy', 's9', 'will', 'make', 'my', 'day', 'JumiaBlackFridays']",0,0,en
Fri Nov 08 06:09:32 +0000 2019,"['Wireless', 'Charging', 'Dock', 'for', 'Samsung', 'Galaxy', 'Watch', 'electronics']",0,0,en
Fri Nov 08 06:09:30 +0000 2019,"['RT', 'themacketlady', 'A20s', 'anytime', 'the', 'Camera', 'alone', 'is', 'perfect', 'quality', 'which', 'do', 'you', 'prefer', 'Samsung', 'Galaxy', 'A20s', 'vs', 'Samsung', 'Galaxy', 'A20', 'the']",19,0,en
Fri Nov 08 06:09:24 +0000 2019,"['Кастомные', 'Android', 'прошивки', 'LineageOS', '16', 'официально', 'доступна', 'владельцам', 'Asus', 'Zenfone', '3', 'Yandex', 'Phone', 'Sony', 'Xperia', 'Z']",0,0,und
Fri Nov 08 06:09:22 +0000 2019,"['RT', 'SamsungIndia', 'AdityaS66242040', 'You', 've', 'just', 'unlocked', 'the', 'power', 'of', 'creativity', 'Now', 'shoot', 'epic', 'pictures', 'and', 'videos', 'and', 'edit', 'on', 'the', 'go', 'with']",1,0,en
Fri Nov 08 06:09:19 +0000 2019,"['Sahabat', 'selama', 'berada', 'di', 'area', 'PameranSekaten2019', 'jangan', 'lupa', 'Upload', 'foto', 'terbaik', 'di', 'Instagram', 'berlatar', 'spot', 'favori']",2,3,in
Fri Nov 08 06:09:16 +0000 2019,"['RT', 'btsprincesX', 'Taehyung', 'compró', 'una', 'villa', 'de', 'lujo', 'llamada', 'appelbaum', 'en', 'Samsung', 'dong', 'Gangnam', 'gu', 'Seúl', 'por', '5', '1', 'BILLONES', 'de', 'wones', 'Compró']",473,0,es
Fri Nov 08 06:09:14 +0000 2019,"['hijklmnono', 'Lah', 'bukannya', 'ada', 'hp', 'Samsung']",0,0,in
Fri Nov 08 06:09:13 +0000 2019,"['expressoshow', 'SamsungMobileSA', 'KatlegoMaboe', 'Hello', 'multi', 'tasking', 'For', 'an', 'events', 'manager', 'like', 'myself', 'That', 's', 'top', 'l']",0,0,en
Fri Nov 08 06:09:11 +0000 2019,"['RT', 'themacketlady', 'A20s', 'anytime', 'the', 'Camera', 'alone', 'is', 'perfect', 'quality', 'which', 'do', 'you', 'prefer', 'Samsung', 'Galaxy', 'A20s', 'vs', 'Samsung', 'Galaxy', 'A20', 'the']",19,0,en
Fri Nov 08 06:09:10 +0000 2019,"['RT', 'FallonTonight', 'The', 'Tonight', 'Show', 'partners', 'with', 'SamsungMobileUS', 'to', 'help', 'surprise', '3', 'UT', 'Austin', 'students', 'with', 'Samsung', 'swag', 'and', 'pay', 'the', 'r']",297,0,en
Fri Nov 08 06:09:10 +0000 2019,"['RT', 'expressoshow', 'You', 'could', 'win', '1', 'of', '10', 'SamsungMobileSA', 'Galaxy', 'A30s', 'special', 'editions', 'What', 'are', 'your', '2', 'favourite', 'A30s', 'features', 'amp', 'why', 'Be', 'su']",86,0,en
