Date,Open,High,Low,Close,Adj Close,Volume
6/12/2017,45420,45600,45140,45380,11521.97168,10954300
6/13/2017,45140,45620,45140,45400,11527.04981,8624900
6/14/2017,45800,46060,45240,45360,11516.89453,10166700
6/15/2017,45680,45920,45180,45680,11598.1416,9657000
6/16/2017,45500,45940,45460,45580,11572.75195,17403450
6/19/2017,45580,46560,45560,46560,11821.57324,11303900
6/20/2017,47240,48140,47220,48140,12222.73828,15045000
6/21/2017,47740,48120,47480,47480,12055.16016,9973650
6/22/2017,47960,48080,47720,47960,12177.03418,11455800
6/23/2017,47600,47780,47420,47620,12090.70703,9515100
6/26/2017,47520,48360,47520,48280,12258.2832,8552800
6/27/2017,48220,48400,47900,48300,12263.36133,9616750
6/28/2017,47600,48000,47560,47700,12111.02148,9572500
6/29/2017,48040,48320,47940,47940,14265.41309,8306550
6/30/2017,47500,47620,47100,47540,14146.38672,11877550
7/3/2017,47500,47780,47120,47220,14051.16309,6805550
7/4/2017,47160,47400,46900,47000,13985.69824,7961000
7/5/2017,46820,47680,46780,47580,14158.28906,10640250
7/6/2017,48000,48100,47720,48060,14301.12109,10923050
7/7/2017,47740,48120,47620,47860,14241.60742,8131900
7/10/2017,48500,48900,48320,48660,14479.66211,10792750
7/11/2017,48640,49000,48280,49000,14580.83594,9717800
7/12/2017,49000,50000,48840,49880,14842.69434,9486150
7/13/2017,50080,50940,50040,50560,15045.04199,16034150
7/14/2017,51000,51080,50420,50480,15021.23731,8239000
7/17/2017,50900,51020,50520,50640,15068.84668,8976100
7/18/2017,50420,50880,50360,50840,15128.36035,7084450
7/19/2017,50620,50820,50000,50740,15098.60254,11157500
7/20/2017,50760,51320,50560,51200,15235.48438,8367600
7/21/2017,50860,51160,50520,51080,15199.77734,8449050
7/24/2017,50700,51000,50620,50860,15134.31152,7099750
7/25/2017,50500,50760,49940,50000,14878.40332,10810600
7/26/2017,49600,50020,49300,49840,14830.79297,11224800
7/27/2017,50000,50640,49560,49800,14818.88965,11449500
7/28/2017,49800,49800,47380,47760,14211.85059,26168300
7/31/2017,47420,48240,46920,48200,14342.78125,12701400
8/1/2017,48000,48840,47540,48600,14461.80859,11369500
